Periode,Suhu
1,27.51
2,27.85
3,28.76
4,29.11
5,29.63
6,29.4
7,28.85
8,28.72
9,29.24
10,29.11
11,29.08
12,28.73
13,28.06
14,27.59
15,27.77
16,28.13
17,28.44
18,28.19
19,27.93
20,28.15
21,28.36
22,28.33
23,28.53
24,28.43
25,28.01
26,27.8
27,28.08
28,28.74
29,28.85
30,28.51
31,28.27
32,28.13
33,27.98
34,28.05
35,28.32
36,28.14
37,27.3
38,27.83
39,28.52
40,29.23
41,29.15
42,28.72
43,28.31
44,27.99
45,28.3
46,27.87
47,28.21
48,28.37
49,27.02
50,27.26
51,27.88
52,28.73
53,29.33
54,29.33
55,28.25
56,28.33
57,28.19
58,28.37
59,28.41
60,28.25
61,27.4
62,27.54
63,28.62
64,29.36
65,29.51
66,28.8
67,28.3
68,28.17
69,28.58
70,28.68
71,28.48
72,28.37
73,28.39
74,28.4
75,29.02
76,29.8
77,29.63
78,29.18
79,28.84
80,28.6
81,28.46
82,28.39
83,28.64
84,28.73
85,27.97
86,27.54
87,27.67
88,28.58
89,29.18
90,28.88
91,28.59
92,28.86
93,28.92
94,28.87
95,28.86
96,28.51
97,28.07
98,27.69
99,28.3
100,28.64
101,29.31
102,28.91
103,28.58
104,28.43
105,28.48
106,29.05
107,28.71
108,28.36
109,27.86
110,27.9
111,28.41
112,29.12
113,30.09
114,29.49
115,28.63
116,28.67
117,28.74
118,29.04
119,29.06
120,28.81
121,28.55
122,28.44
123,28.7
124,29.78
125,29.76
126,29.05
127,28.83
128,28.79
129,28.99
130,28.87
131,28.76
132,28.57
133,28.13
134,28.08
135,28.48
136,28.63
137,28.87
138,28.86
139,28.76
140,29.05
141,28.83
142,28.94
143,28.88
144,28.36
